Designator,MPN,Qty,Link
C5,0805B273K500CT,1,
"C4, C8, C9",GCM21BR71E105KA56L,3,
C11,TAJD107K010RNJ,1,
"C1, C6, C12",GCM21BR72A104KA37L,3,
"C3, C10, C13",CL31A475KOHNNNE,3,
"C14, C15",EMK325BJ476MM-T,2,
"C2, C7, C16",CL21B473KBCNNNC,3,
"D1, D2",MBRS540T3G,2,
IC5,LMR14030SDDAR,1,
J3,PF1-M220-SBB-G0-TR,1,
L1,WPN4020H1R0MT,1,
"LED1, LED3",ORH-R35A,2,
"LED2, LED4",ORH-YG35A,2,
"Q1, Q2",SI7288DP-T1-GE3,2,
Q3,IRF9310TRPBF,1,
R1,0805W8F4642T5E,1,
"R5, R7, R11, R12",0805W8J0472T5E,4,
R8,0805W8F6812T5E,1,
"R2, R3, R4, R6, R9, R10",0805W8F1212T5E,6,
S1,K2-1102SP-C4SC-04,1,
S2,K2-1102SP-C4SC-04,1,
