Designator,Manufacturer Part Number or Seeed SKU,Qty,Link
"Btn1, Btn2",PTS636 SK25 SMTR LFS,2,https://www.mouser.com/ProductDetail/611-PTS636SK25SMTRLF
"C1, C2",LMK316BJ106KL-T,2,https://www.mouser.com/ProductDetail/963-LMK316BJ106KL-T
"C3, C4, C5",VJ1206Y105MXQTW1BC,3,https://www.mouser.com/ProductDetail/77-VJ1206Y105MXQTBC
C9,CL31A226KPHNNNE,1,https://www.mouser.com/ProductDetail/963-LMK325BJ226KM-P
IC1,BD48K60G-TL,1,https://www.mouser.com/ProductDetail/755-BD48K60G-TL
IC2,AZ2085D-ADJTRG1,1,https://www.mouser.com/ProductDetail/621-AZ2085D-ADJTRG1
IC3,AP65450SP-13,1,https://www.mouser.com/ProductDetail/621-AP65450SP-13
IC5,VNH7070BASTR,1,https://www.mouser.com/ProductDetail/511-VNH7070BASTR
L1,SRN8040TA-3R3Y,1,https://www.mouser.com/ProductDetail/652-SRN8040TA-3R3Y
LED1,599-0210-007F,1,https://www.mouser.com/ProductDetail/645-599-0210-007F
LED2,599-0281-007F,1,https://www.mouser.com/ProductDetail/645-599-0281-007F
Q3,SQJA37EP-T1_GE3,1,https://www.mouser.com/ProductDetail/78-SQJA37EP-T1_GE3
R2,CR1206-FX-6652ELF,1,https://www.mouser.com/ProductDetail/652-CR1206FX-6652ELF
R5,CR1206-FX-1243ELF,1,https://www.mouser.com/ProductDetail/652-CR1206FX-1243ELF
"R1, R6",CR1206-FX-2212ELF,2,https://www.mouser.com/ProductDetail/652-CR1206FX-2212ELF
R9,CR1206-FX-2211ELF,1,https://www.mouser.com/ProductDetail/652-CR1206FX-2211ELF
R10,CR1206-FX-6651ELF,1,https://www.mouser.com/ProductDetail/652-CR1206FX-6651ELF
