Designator,Manufacturer Part Number or Seeed SKU,Qty,Link
"Btn1, Btn2",PTS636 SK25 SMTR LFS,2,https://www.mouser.com/ProductDetail/611-PTS636SK25SMTRLF
"C1, C2",CL31B106KPHNNNE,2,
"C3, C4, C5",CL31B105KAHNNNE,3,
C9,CL31A226KPHNNNE,1,
IC1,BD48K60G-TL,1,https://www.mouser.com/ProductDetail/755-BD48K60G-TL
IC2,AZ2085D-ADJTRG1,1,https://www.mouser.com/ProductDetail/621-AZ2085D-ADJTRG1
IC3,AP65450SP-13,1,https://www.mouser.com/ProductDetail/621-AP65450SP-13
IC5,VNH7070BASTR,1,https://www.mouser.com/ProductDetail/511-VNH7070BASTR
L1,SRN8040TA-3R3Y,1,https://www.mouser.com/ProductDetail/652-SRN8040TA-3R3Y
LED1,599-0210-007F,1,https://www.mouser.com/ProductDetail/645-599-0210-007F
LED2,599-0281-007F,1,https://www.mouser.com/ProductDetail/645-599-0281-007F
Q3,SQJA37EP-T1_GE3,1,https://www.mouser.com/ProductDetail/78-SQJA37EP-T1_GE3
R2,RC1206FR-0768KL,1,
R5,RC1206FR-07120KL,1,
"R1, R6",RC1206FR-0722KL,2,
R9,RC1206FR-072K2L,1,
R10,RC1206JR-076K8L,1,
